Abbreviation,Time zone name,Location,Offset,
A,Alpha Time Zone,Military,UTC +1,
ACDT,Australian Central Daylight Time,Australia,UTC +10:30,
ACST,Australian Central Standard Time,Australia,UTC +9:30,
ACT,Acre Time,South America,UTC -5,
ACT,Australian Central Time,Australia,UTC +9:30,
ACWST,Australian Central Western Standard Time,Australia,UTC +8:45,
ADT,Arabia Daylight Time,Asia,UTC +4,
ADT,Atlantic Daylight Time,North America,UTC -3,
AEDT,Australian Eastern Daylight Time,Australia,UTC +11,
AEST,Australian Eastern Standard Time,Australia,UTC +10,
AET,Australian Eastern Time,Australia,UTC +10:00,
AFT,Afghanistan Time,Asia,UTC +4:30,
AKDT,Alaska Daylight Time,North America,UTC -8,
AKST,Alaska Standard Time,North America,UTC -9,
ALMT,Alma-Ata Time,Asia,UTC +6,
AMST,Amazon Summer Time,South America,UTC -3,
AMST,Armenia Summer Time,Asia,UTC +5,
AMT,Amazon Time,South America,UTC -4,
AMT,Armenia Time,Asia,UTC +4,
ANAST,Anadyr Summer Time,Asia,UTC +12,
ANAT,Anadyr Time,Asia,UTC +12,
AQTT,Aqtobe Time,Asia,UTC +5,
ART,Argentina Time,Antarctica,UTC -3,
AST,Arabia Standard Time,Asia,UTC +3,
AST,Atlantic Standard Time,North America,UTC -4,
AT,Atlantic Time,North America,UTC -4:00,
AWDT,Australian Western Daylight Time,Australia,UTC +9,
AWST,Australian Western Standard Time,Australia,UTC +8,
AZOST,Azores Summer Time,Atlantic,UTC +0,
AZOT,Azores Time,Atlantic,UTC -1,
AZST,Azerbaijan Summer Time,Asia,UTC +5,
AZT,Azerbaijan Time,Asia,UTC +4,
AoE,Anywhere on Earth,Pacific,UTC -12,
B,Bravo Time Zone,Military,UTC +2,
BNT,Brunei Darussalam Time,Asia,UTC +8,
BOT,Bolivia Time,South America,UTC -4,
BRST,Brasília Summer Time,South America,UTC -2,
BRT,Brasília Time,South America,UTC -3,
BST,Bangladesh Standard Time,Asia,UTC +6,
BST,Bougainville Standard Time,Pacific,UTC +11,
BST,British Summer Time,Europe,UTC +1,
BTT,Bhutan Time,Asia,UTC +6,
C,Charlie Time Zone,Military,UTC +3,
CAST,Casey Time,Antarctica,UTC +8,
CAT,Central Africa Time,Africa,UTC +2,
CCT,Cocos Islands Time,Indian Ocean,UTC +6:30,
CDT,Central Daylight Time,North America,UTC -5,
CDT,Cuba Daylight Time,Caribbean,UTC -4,
CEST,Central European Summer Time,Europe,UTC +2,
CET,Central European Time,Europe,UTC +1,
CHADT,Chatham Island Daylight Time,Pacific,UTC +13:45,
CHAST,Chatham Island Standard Time,Pacific,UTC +12:45,
CHOST,Choibalsan Summer Time,Asia,UTC +9,
CHOT,Choibalsan Time,Asia,UTC +8,
CHUT,Chuuk Time,Pacific,UTC +10,
CIDST,Cayman Islands Daylight Saving Time,Caribbean,UTC -4,
CIST,Cayman Islands Standard Time,Caribbean,UTC -5,
CKT,Cook Island Time,Pacific,UTC -10,
CLST,Chile Summer Time,South America,UTC -3,
CLT,Chile Standard Time,South America,UTC -4,
COT,Colombia Time,South America,UTC -5,
CST,Central Standard Time,North America,UTC -6,
CST,China Standard Time,Asia,UTC +8,
CST,Cuba Standard Time,Caribbean,UTC -5,
CT,Central Time,North America,UTC -6:00 ,
CVT,Cape Verde Time,Africa,UTC -1,
CXT,Christmas Island Time,Australia,UTC +7,
ChST,Chamorro Standard Time,Pacific,UTC +10,
D,Delta Time Zone,Military,UTC +4,
DAVT,Davis Time,Antarctica,UTC +7,
DDUT,Dumont-d'Urville Time,Antarctica,UTC +10,
E,Echo Time Zone,Military,UTC +5,
EASST,Easter Island Summer Time,Pacific,UTC -5,
EAST,Easter Island Standard Time,Pacific,UTC -6,
EAT,Eastern Africa Time,Africa,UTC +3,
ECT,Ecuador Time,South America,UTC -5,
EDT,Eastern Daylight Time,North America,UTC -4,
EEST,Eastern European Summer Time,Europe,UTC +3,
EET,Eastern European Time,Europe,UTC +2,
EGST,Eastern Greenland Summer Time,North America,UTC +0,
EGT,East Greenland Time,North America,UTC -1,
EST,Eastern Standard Time,North America,UTC -5,
ET,Eastern Time,North America,UTC -5:00 ,
F,Foxtrot Time Zone,Military,UTC +6,
FET,Further-Eastern European Time,Europe,UTC +3,
FJST,Fiji Summer Time,Pacific,UTC +13,
FJT,Fiji Time,Pacific,UTC +12,
FKST,Falkland Islands Summer Time,South America,UTC -3,
FKT,Falkland Island Time,South America,UTC -4,
FNT,Fernando de Noronha Time,South America,UTC -2,
G,Golf Time Zone,Military,UTC +7,
GALT,Galapagos Time,Pacific,UTC -6,
GAMT,Gambier Time,Pacific,UTC -9,
GET,Georgia Standard Time,Asia,UTC +4,
GFT,French Guiana Time,South America,UTC -3,
GILT,Gilbert Island Time,Pacific,UTC +12,
GMT,Greenwich Mean Time,Europe,UTC +0,
GST,Gulf Standard Time,Asia,UTC +4,
GST,South Georgia Time,South America,UTC -2,
GYT,Guyana Time,South America,UTC -4,
H,Hotel Time Zone,Military,UTC +8,
HDT,Hawaii-Aleutian Daylight Time,North America,UTC -9,
HKT,Hong Kong Time,Asia,UTC +8,
HOVST,Hovd Summer Time,Asia,UTC +8,
HOVT,Hovd Time,Asia,UTC +7,
HST,Hawaii Standard Time,North America,UTC -10,
I,India Time Zone,Military,UTC +9,
ICT,Indochina Time,Asia,UTC +7,
IDT,Israel Daylight Time,Asia,UTC +3,
IOT,Indian Chagos Time,Indian Ocean,UTC +6,
IRDT,Iran Daylight Time,Asia,UTC +4:30,
IRKST,Irkutsk Summer Time,Asia,UTC +9,
IRKT,Irkutsk Time,Asia,UTC +8,
IRST,Iran Standard Time,Asia,UTC +3:30,
IST,India Standard Time,Asia,UTC +5:30,
IST,Irish Standard Time,Europe,UTC +1,
IST,Israel Standard Time,Asia,UTC +2,
JST,Japan Standard Time,Asia,UTC +9,
K,Kilo Time Zone,Military,UTC +10,
KGT,Kyrgyzstan Time,Asia,UTC +6,
KOST,Kosrae Time,Pacific,UTC +11,
KRAST,Krasnoyarsk Summer Time,Asia,UTC +8,
KRAT,Krasnoyarsk Time,Asia,UTC +7,
KST,Korea Standard Time,Asia,UTC +9,
KUYT,Kuybyshev Time,Europe,UTC +4,
L,Lima Time Zone,Military,UTC +11,
LHDT,Lord Howe Daylight Time,Australia,UTC +11,
LHST,Lord Howe Standard Time,Australia,UTC +10:30,
LINT,Line Islands Time,Pacific,UTC +14,
M,Mike Time Zone,Military,UTC +12,
MAGST,Magadan Summer Time,Asia,UTC +12,
MAGT,Magadan Time,Asia,UTC +11,
MART,Marquesas Time,Pacific,UTC -9:30,
MAWT,Mawson Time,Antarctica,UTC +5,
MDT,Mountain Daylight Time,North America,UTC -6,
MHT,Marshall Islands Time,Pacific,UTC +12,
MMT,Myanmar Time,Asia,UTC +6:30,
MSD,Moscow Daylight Time,Europe,UTC +4,
MSK,Moscow Standard Time,Europe,UTC +3,
MST,Mountain Standard Time,North America,UTC -7,
MT,Mountain Time,North America,UTC -7:00 ,
MUT,Mauritius Time,Africa,UTC +4,
MVT,Maldives Time,Asia,UTC +5,
MYT,Malaysia Time,Asia,UTC +8,
N,November Time Zone,Military,UTC -1,
NCT,New Caledonia Time,Pacific,UTC +11,
NDT,Newfoundland Daylight Time,North America,UTC -2:30,
NFDT,Norfolk Daylight Time,Australia,UTC +12,
NFT,Norfolk Time,Australia,UTC +11,
NOVST,Novosibirsk Summer Time,Asia,UTC +7,
NOVT,Novosibirsk Time,Asia,UTC +7,
NPT,Nepal Time,Asia,UTC +5:45,
NRT,Nauru Time,Pacific,UTC +12,
NST,Newfoundland Standard Time,North America,UTC -3:30,
NUT,Niue Time,Pacific,UTC -11,
NZDT,New Zealand Daylight Time,Pacific,UTC +13,
NZST,New Zealand Standard Time,Pacific,UTC +12,
O,Oscar Time Zone,Military,UTC -2,
OMSST,Omsk Summer Time,Asia,UTC +7,
OMST,Omsk Standard Time,Asia,UTC +6,
ORAT,Oral Time,Asia,UTC +5,
P,Papa Time Zone,Military,UTC -3,
PDT,Pacific Daylight Time,North America,UTC -7,
PET,Peru Time,South America,UTC -5,
PETST,Kamchatka Summer Time,Asia,UTC +12,
PETT,Kamchatka Time,Asia,UTC +12,
PGT,Papua New Guinea Time,Pacific,UTC +10,
PHOT,Phoenix Island Time,Pacific,UTC +13,
PHT,Philippine Time,Asia,UTC +8,
PKT,Pakistan Standard Time,Asia,UTC +5,
PMDT,Pierre & Miquelon Daylight Time,North America,UTC -2,
PMST,Pierre & Miquelon Standard Time,North America,UTC -3,
PONT,Pohnpei Standard Time,Pacific,UTC +11,
PST,Pacific Standard Time,North America,UTC -8,
PST,Pitcairn Standard Time,Pacific,UTC -8,
PT,Pacific Time,North America,UTC -8:00 ,
PWT,Palau Time,Pacific,UTC +9,
PYST,Paraguay Summer Time,South America,UTC -3,
PYT,Paraguay Time,South America,UTC -4,
PYT,Pyongyang Time,Asia,UTC +8:30,
Q,Quebec Time Zone,Military,UTC -4,
QYZT,Qyzylorda Time,Asia,UTC +6,
R,Romeo Time Zone,Military,UTC -5,
RET,Reunion Time,Africa,UTC +4,
ROTT,Rothera Time,Antarctica,UTC -3,
S,Sierra Time Zone,Military,UTC -6,
SAKT,Sakhalin Time,Asia,UTC +11,
SAMT,Samara Time,Europe,UTC +4,
SAST,South Africa Standard Time,Africa,UTC +2,
SBT,Solomon Islands Time,Pacific,UTC +11,
SCT,Seychelles Time,Africa,UTC +4,
SGT,Singapore Time,Asia,UTC +8,
SRET,Srednekolymsk Time,Asia,UTC +11,
SRT,Suriname Time,South America,UTC -3,
SST,Samoa Standard Time,Pacific,UTC -11,
SYOT,Syowa Time,Antarctica,UTC +3,
T,Tango Time Zone,Military,UTC -7,
TAHT,Tahiti Time,Pacific,UTC -10,
TFT,French Southern and Antarctic Time,Indian Ocean,UTC +5,
TJT,Tajikistan Time,Asia,UTC +5,
TKT,Tokelau Time,Pacific,UTC +13,
TLT,East Timor Time,Asia,UTC +9,
TMT,Turkmenistan Time,Asia,UTC +5,
TOST,Tonga Summer Time,Pacific,UTC +14,
TOT,Tonga Time,Pacific,UTC +13,
TRT,Turkey Time,Asia,UTC +3,
TVT,Tuvalu Time,Pacific,UTC +12,
U,Uniform Time Zone,Military,UTC -8,
ULAST,Ulaanbaatar Summer Time,Asia,UTC +9,
ULAT,Ulaanbaatar Time,Asia,UTC +8,
UTC,Coordinated Universal Time,Worldwide,UTC,
UYST,Uruguay Summer Time,South America,UTC -2,
UYT,Uruguay Time,South America,UTC -3,
UZT,Uzbekistan Time,Asia,UTC +5,
V,Victor Time Zone,Military,UTC -9,
VET,Venezuelan Standard Time,South America,UTC -4,
VLAST,Vladivostok Summer Time,Asia,UTC +11,
VLAT,Vladivostok Time,Asia,UTC +10,
VOST,Vostok Time,Antarctica,UTC +6,
VUT,Vanuatu Time,Pacific,UTC +11,
W,Whiskey Time Zone,Military,UTC -10,
WAKT,Wake Time,Pacific,UTC +12,
WARST,Western Argentine Summer Time,South America,UTC -3,
WAST,West Africa Summer Time,Africa,UTC +2,
WAT,West Africa Time,Africa,UTC +1,
WEST,Western European Summer Time,Europe,UTC +1,
WET,Western European Time,Europe,UTC +0,
WFT,Wallis and Futuna Time,Pacific,UTC +12,
WGST,Western Greenland Summer Time,North America,UTC -2,
WGT,West Greenland Time,North America,UTC -3,
WIB,Western Indonesian Time,Asia,UTC +7,
WIT,Eastern Indonesian Time,Asia,UTC +9,
WITA,Central Indonesian Time,Asia,UTC +8,
WST,West Samoa Time,Pacific,UTC +13,
WST,Western Sahara Summer Time,Africa,UTC +1,
WT,Western Sahara Standard Time,Africa,UTC +0,
X,X-ray Time Zone,Military,UTC -11,
Y,Yankee Time Zone,Military,UTC -12,
YAKST,Yakutsk Summer Time,Asia,UTC +10,
YAKT,Yakutsk Time,Asia,UTC +9,
YAPT,Yap Time,Pacific,UTC +10,
YEKST,Yekaterinburg Summer Time,Asia,UTC +6,
YEKT,Yekaterinburg Time,Asia,UTC +5,
Z,Zulu Time Zone,Military,UTC +0,
